property_id,lot_area,land_contour,lot_config,neighborhood,bldg_type,house_style,overall_qual,overall_cond,roof_style,foundation,gr_liv_area,bedroom_abv_gr,fireplaces,yr_sold,sale_condition,lot_frontage,exterior1st,sale_type,fence,garage_type,mas_vnr_type,garage_cars,bsmt_fin_sf1,bsmt_fin_sf2,total_bsmt_sf,porcentaje_sotano_terminado,lot_coverage_pct,garage_age,house_age,years_since_remodel,has_been_remodeled,total_outdoor_space,has_outdoor_space,total_bathrooms,is_noisy,mo_sold_sin,mo_sold_cos,es_temporada_alta,total_living_porch,total_outdoor_deck,has_standard_roof,has_gas_heating,has_central_air,is_single_kitchen,has_standard_electrical,exter_qual,exter_cond,bsmt_qual,heating_qc,kitchen_qual,fireplace_qu,functional,bsmt_fin_type2,bsmt_exposure,lot_shape,garage_finish,paved_drive,land_slope,alley,deterioration_index,needs_urgent_repair,edad_efectiva,penalizacion_condicion
1976,10845,Lvl,Corner,NridgHt,1Fam,1Story,8,5,Gable,PConc,1575,2,1,2008,Normal,92,VinylSd,WD,None,Attchd,BrkFace,3,1149,0,1603,0.71678103555832817,0.14522821576763487,5,5,4,1,244,1,3,0,1.2246467991473532e-16,-1,1,0,244,1,1,1,1,1,4,3,4,5,4,3,7,1,2,2,3,2,2,0,2,0,1,0
1978,16451,Lvl,Corner,NridgHt,1Fam,2Story,8,5,Gable,PConc,2690,4,1,2008,Normal,112,VinylSd,WD,None,BuiltIn,BrkFace,3,0,0,1765,0,0.16351589569023159,5,5,5,0,326,1,2.5,0,-0.49999999999999972,-0.86602540378443882,1,0,326,1,1,1,1,1,4,3,5,5,4,4,7,1,4,2,3,2,2,0,2,0,0,0
2328,8740,Lvl,Inside,Gilbert,1Fam,2Story,7,5,Gable,PConc,1995,4,1,2007,Normal,,VinylSd,WD,None,BuiltIn,None,2,574,0,854,0.67213114754098358,0.22826086956521738,5,5,5,0,312,1,2.5,0,-0.49999999999999972,-0.86602540378443882,1,0,312,1,1,1,1,1,4,3,4,5,4,4,7,1,1,2,3,2,2,0,2,0,0,0
2535,12728,Lvl,Inside,CollgCr,1Fam,2Story,8,5,Gable,PConc,2439,4,1,2007,Normal,66.5,VinylSd,WD,None,Attchd,BrkFace,2,1198,0,1531,0.782495101241019,0.1916247642991829,6,6,6,0,305,1,3.5,0,0.49999999999999994,0.86602540378443871,0,0,305,1,1,1,1,1,4,3,4,5,4,3,7,1,2,3,3,2,2,0,2,0,0,0
2521,9543,Lvl,Inside,CollgCr,1Fam,2Story,7,5,Gable,PConc,1690,3,0,2007,Normal,68,VinylSd,WD,None,Attchd,None,2,0,0,845,0,0.17709315728806455,6,6,6,0,103,1,2.5,0,0.8660254037844386,0.50000000000000011,0,0,103,1,1,1,1,1,4,3,4,5,4,0,7,1,1,2,2,2,2,0,2,0,0,0
1696,15896,Lvl,CulDSac,Gilbert,1Fam,2Story,7,5,Gable,PConc,2312,4,1,2009,Normal,,VinylSd,WD,None,BuiltIn,BrkFace,3,913,0,1177,0.77570093457943923,0.14544539506794163,10,10,10,0,298,1,3.5,1,0.49999999999999994,-0.86602540378443871,1,0,298,1,1,1,1,1,4,3,4,5,4,3,7,1,1,1,3,2,2,0,2,0,0,0
2829,9069,Lvl,Inside,SawyerW,Duplex,SFoyer,6,8,Gable,PConc,1440,2,0,2006,Normal,73,HdBoard,WD,None,Attchd,None,4,261,1083,1344,1,0.15878266622560369,13,13,13,0,288,1,4,0,0.86602540378443871,-0.49999999999999978,1,0,288,1,1,1,0,1,4,4,4,4,4,0,7,6,3,3,1,2,2,0,2,0,0,0
2158,14171,Lvl,CulDSac,SawyerW,1Fam,2Story,7,5,Gable,PConc,2200,4,1,2008,Normal,78,VinylSd,WD,None,Attchd,None,2,355,0,812,0.437192118226601,0.1552466304424529,15,15,14,1,266,1,2.5,0,-2.4492935982947064e-16,1,0,0,266,1,1,1,1,1,4,3,4,5,4,3,7,1,1,1,2,2,2,0,2,0,1,0
2025,11025,Lvl,Inside,NoRidge,1Fam,1.5Fin,9,5,Hip,PConc,2786,4,1,2008,Normal,105,Wd Sdng,WD,None,Attchd,BrkFace,2,520,0,1848,0.2813852813852814,0.2526984126984127,15,15,14,1,343,1,3.5,0,1.2246467991473532e-16,-1,1,0,343,1,1,1,1,1,4,3,4,5,4,5,7,1,4,3,3,2,2,0,2,0,1,0
1575,11980,Low,Inside,SawyerW,1Fam,1Story,7,5,Gable,CBlock,1433,1,2,2010,Normal,83,Plywood,WD,MnPrv,Attchd,BrkFace,2,1433,0,1433,1,0.11961602671118531,23,23,23,0,544,1,2.5,0,1.2246467991473532e-16,-1,1,266,278,1,1,1,1,1,4,3,4,5,4,3,7,1,4,3,2,2,1,0,2,0,0,0
1767,14695,Lvl,Inside,NAmes,1Fam,1Story,6,8,Gable,CBlock,1567,2,2,2009,Normal,80,MetalSd,WD,GdWo,Attchd,BrkFace,2,1387,0,1562,0.88796414852752881,0.10663490983327663,43,43,1,1,452,1,3,0,-0.49999999999999972,-0.86602540378443882,1,342,110,1,1,1,1,1,3,4,3,4,4,4,7,1,1,2,1,2,2,0,2,0,42,1
1512,9680,Lvl,Inside,NAmes,1Fam,1Story,5,6,Gable,CBlock,1510,3,0,2010,Normal,88,Wd Sdng,WD,GdPrv,Attchd,BrkFace,2,1010,0,1510,0.66887417218543044,0.15599173553719009,43,43,43,0,244,1,3,0,0.86602540378443871,-0.49999999999999978,1,204,40,1,1,1,1,1,3,3,3,5,4,0,7,1,1,3,2,2,2,0,2,0,0,0
2742,9610,Lvl,Corner,NAmes,1Fam,1Story,6,6,Hip,CBlock,1336,3,1,2006,Normal,81.5,Wd Sdng,WD,None,Attchd,BrkFace,2,203,0,1121,0.18108831400535236,0.13902185223725286,48,48,48,0,80,1,1.5,1,-2.4492935982947064e-16,1,0,0,80,1,1,1,1,0,3,3,3,5,3,3,7,1,1,2,2,2,2,0,2,0,0,0
1902,14680,HLS,Inside,Crawfor,1Fam,1Story,5,4,Gable,CBlock,1273,2,0,2009,Normal,80,MetalSd,WD,MnPrv,Attchd,None,1,793,0,1273,0.62293794186959939,0.086716621253406,49,49,49,0,598,1,1,0,1.2246467991473532e-16,-1,1,115,483,1,1,1,1,1,3,3,3,5,3,0,7,1,1,2,1,2,2,1,2,0,0,0
1794,8010,Lvl,Inside,NAmes,1Fam,1Story,6,9,Hip,CBlock,951,2,0,2009,Normal,62,Wd Sdng,WD,None,Detchd,None,2,745,0,951,0.78338590956887488,0.11872659176029962,24,51,2,1,42,1,2,0,-1,-1.8369701987210297e-16,0,42,0,1,1,1,1,1,4,4,3,4,4,0,7,1,2,3,1,2,2,0,2,0,49,1
1571,9350,Bnk,Inside,Edwards,1Fam,1.5Fin,4,6,Gable,CBlock,1531,3,1,2010,Normal,50,WdShing,WD,MnPrv,Detchd,None,1,192,0,756,0.25396825396825395,0.1637433155080214,63,63,31,1,0,0,1,0,1.2246467991473532e-16,-1,1,0,0,1,1,1,1,1,3,3,3,5,3,3,7,1,1,3,1,2,2,0,2,0,32,1
2462,6240,Lvl,Inside,BrkSide,1Fam,1.5Fin,5,7,Gable,BrkTil,1426,3,1,2007,Normal,52,Wd Sdng,WD,GdPrv,Detchd,None,1,0,0,966,0,0.22852564102564102,77,77,15,1,270,1,1,0,-0.49999999999999972,-0.86602540378443882,1,96,174,1,1,1,1,1,3,3,3,5,3,4,7,1,1,3,1,2,2,0,2,0,62,1
2859,8777,Bnk,Inside,Edwards,1Fam,2Story,4,6,Gable,CBlock,1436,3,0,2006,Normal,67,Plywood,WD,None,Attchd,None,2,173,337,676,0.75443786982248517,0.16360943374729406,56,96,6,1,147,1,3,1,-0.8660254037844386,0.50000000000000011,0,0,147,1,1,1,1,1,3,4,4,4,3,0,6,4,1,3,1,2,2,0,2,0,90,1
2362,19522,Bnk,Inside,Veenker,1Fam,2Story,7,5,Gable,PConc,2503,3,1,2007,Normal,,HdBoard,WD,None,Attchd,BrkFace,2,727,0,1223,0.59443990188062146,0.12821432230304272,17,17,17,0,281,1,3.5,0,0.8660254037844386,0.50000000000000011,0,182,99,1,1,1,1,1,4,3,4,4,4,3,7,1,1,2,2,2,2,0,3,0,0,0
2703,8927,Lvl,Inside,Sawyer,Duplex,1.5Fin,6,6,Gable,CBlock,1654,4,0,2006,Normal,68,VinylSd,WD,None,Attchd,None,2,0,0,0,0,0.18528060938725216,29,29,29,0,0,0,2,1,-0.86602540378443837,-0.50000000000000044,0,0,0,1,1,1,0,1,3,4,0,3,3,0,7,0,0,3,2,2,2,0,3,0,0,0
2482,8425,Lvl,FR3,Sawyer,2fmCon,1Story,5,6,Gable,CBlock,868,2,0,2007,Normal,70,HdBoard,WD,GdPrv,Detchd,None,2,748,0,768,0.97395833333333337,0.103026706231454,18,36,17,1,138,1,2,1,0.49999999999999994,-0.86602540378443871,1,0,138,1,1,1,1,1,3,3,4,4,3,0,7,1,3,3,1,2,2,0,3,0,19,0
1795,10454,Lvl,Corner,NAmes,1Fam,1Story,6,6,Hip,CBlock,1105,3,0,2009,Normal,90,Plywood,WD,None,Detchd,Stone,1,546,0,1105,0.49411764705882355,0.1057011670174096,52,52,52,0,0,0,1,0,0.86602540378443871,-0.49999999999999978,1,0,0,1,1,1,1,0,3,3,3,4,3,0,7,1,1,2,1,2,2,0,3,0,0,0
2774,9600,Lvl,Inside,OldTown,1Fam,1.5Fin,5,6,Gable,CBlock,1668,3,0,2006,Normal,60,MetalSd,WD,None,Detchd,Stone,1,276,0,1212,0.22772277227722773,0.17375,58,58,56,1,140,1,2,0,0.49999999999999994,-0.86602540378443871,1,140,0,1,1,1,1,0,3,3,3,4,3,0,7,1,1,3,1,2,2,1,3,0,2,0
2070,7506,Lvl,Corner,OldTown,1Fam,1.5Fin,5,8,Gable,PConc,1159,3,0,2008,Normal,45,VinylSd,WD,None,Detchd,None,1,0,0,747,0,0.15440980548894218,76,83,58,1,180,1,1,0,0.49999999999999994,-0.86602540378443871,1,96,84,1,1,1,1,1,3,4,3,3,3,0,7,1,1,3,1,0,2,0,3,0,25,0
1812,10134,Lvl,Inside,OldTown,1Fam,1.5Fin,5,5,Gable,BrkTil,1447,3,0,2009,Normal,56,MetalSd,WD,None,None,None,0,0,0,801,0,0.14278665877244917,-999,99,59,1,324,1,1,0,-0.49999999999999972,-0.86602540378443882,1,244,80,1,1,0,1,1,3,3,2,4,3,0,7,1,1,3,0,0,2,1,3,0,40,0
2783,7614,Lvl,Inside,OldTown,1Fam,2Story,3,5,Gable,BrkTil,1376,2,0,2006,Normal,42,MetalSd,WD,None,Detchd,None,1,0,0,738,0,0.1807197268190176,76,101,56,1,329,1,1,0,1,6.123233995736766e-17,0,329,0,1,1,1,1,0,3,3,3,4,3,0,7,1,2,3,1,0,1,1,3,0,45,0
1920,11070,Lvl,Inside,Mitchel,1Fam,1Story,5,5,Gable,PConc,1595,2,0,2009,Abnorml,82,HdBoard,COD,None,Detchd,None,2,55,0,1582,0.0347661188369153,0.14408310749774164,18,18,18,0,0,0,3,0,0.86602540378443871,-0.49999999999999978,1,0,0,1,1,1,1,1,3,3,4,3,3,0,7,1,1,3,1,2,2,0,4,0,0,0
2143,7400,Lvl,CulDSac,Sawyer,1Fam,SFoyer,5,5,Gable,PConc,1126,2,0,2008,Normal,70,VinylSd,WD,None,Attchd,None,2,104,956,1060,1,0.15216216216216216,24,24,24,0,178,1,2,0,1,6.123233995736766e-17,0,0,178,1,1,1,1,1,3,3,4,3,3,0,7,5,3,2,1,2,2,0,4,0,0,0
2637,9927,Lvl,Inside,NWAmes,1Fam,SFoyer,7,5,Gable,CBlock,1083,2,1,2006,Normal,75,VinylSd,WD,None,Attchd,Stone,2,1005,0,1047,0.95988538681948421,0.1090964037473557,30,30,30,0,484,1,2,0,-0.49999999999999972,-0.86602540378443882,1,40,444,1,1,1,1,1,4,3,5,3,3,2,7,1,4,2,2,2,2,0,4,0,0,0
1654,2308,Lvl,FR2,NPkVill,TwnhsE,2Story,6,5,Gable,CBlock,1548,3,1,2009,Normal,24,Plywood,WD,None,Detchd,None,2,306,0,804,0.38059701492537312,0.6707105719237435,33,33,33,0,108,1,2.5,0,-1,-1.8369701987210297e-16,0,0,108,1,1,1,1,1,3,3,4,3,3,3,7,1,1,3,2,2,2,0,4,0,0,0
2646,1680,Lvl,Inside,BrDale,Twnhs,2Story,6,5,Gable,CBlock,948,2,0,2006,Normal,21,HdBoard,WD,None,Detchd,BrkFace,1,276,0,483,0.5714285714285714,0.56428571428571428,34,34,34,0,0,0,1.5,0,-0.49999999999999972,-0.86602540378443882,1,0,0,1,1,1,1,1,3,3,3,3,3,0,7,1,1,3,1,2,2,0,4,0,0,0
1750,9000,Lvl,Inside,NWAmes,1Fam,1Story,6,5,Gable,CBlock,1216,3,0,2009,Abnorml,75,HdBoard,WD,MnPrv,Attchd,BrkFace,1,955,0,1216,0.78536184210526316,0.1351111111111111,40,40,40,0,0,0,2,1,-0.86602540378443837,-0.50000000000000044,0,0,0,1,1,1,1,1,3,3,3,3,3,0,7,1,3,3,1,2,2,0,4,0,0,0
1588,10044,Low,CulDSac,Edwards,1Fam,1Story,5,6,Gable,CBlock,1196,3,0,2010,Normal,60,MetalSd,WD,MnPrv,Attchd,None,1,1070,0,1196,0.89464882943143809,0.11907606531262445,42,42,42,0,425,1,2,0,1.2246467991473532e-16,-1,1,168,257,1,1,1,1,1,3,3,4,3,3,0,7,1,4,2,2,2,2,0,4,0,0,0
1625,13008,Lvl,Inside,NAmes,1Fam,1Story,6,5,Gable,CBlock,882,2,0,2009,Normal,74,MetalSd,WD,None,Attchd,None,1,564,0,882,0.63945578231292521,0.06780442804428044,53,53,53,0,0,0,1,0,-0.8660254037844386,0.50000000000000011,0,0,0,1,1,1,1,1,3,3,2,3,3,0,7,1,1,2,1,2,2,0,4,0,0,0
2880,6191,Lvl,Corner,SWISU,1Fam,1.5Fin,5,4,Gable,CBlock,1288,4,0,2006,Normal,51,Wd Sdng,WD,None,Detchd,None,1,384,0,824,0.46601941747572817,0.20804393474398319,65,65,56,1,0,0,1,0,-0.50000000000000044,0.86602540378443837,0,0,0,1,1,0,1,1,3,3,2,3,3,0,7,1,1,3,1,2,2,0,4,0,9,0
2778,3960,Lvl,Inside,OldTown,1Fam,2Story,7,8,Gable,BrkTil,1004,2,1,2006,Normal,66,Wd Sdng,WD,MnPrv,Detchd,None,1,0,0,502,0,0.25353535353535356,76,76,56,1,348,1,1,0,-0.49999999999999972,-0.86602540378443882,1,68,280,1,1,0,1,1,3,3,3,3,4,1,7,1,1,3,1,0,2,1,4,0,20,0
2197,5142,Lvl,Inside,Edwards,1Fam,1.5Fin,4,7,Gable,PConc,1292,3,0,2008,Normal,67,Wd Sdng,WD,None,Detchd,None,1,224,0,949,0.23603793466807166,0.2512640995721509,85,85,0,1,183,1,1.5,0,1.2246467991473532e-16,-1,1,183,0,1,1,1,1,1,3,3,3,3,4,0,7,1,1,3,1,0,2,0,4,0,85,1
1792,10143,Lvl,Inside,NAmes,1Fam,1Story,6,7,Gable,CBlock,1380,3,0,2009,Normal,83,HdBoard,WD,GdWo,Attchd,BrkFace,1,384,0,1380,0.27826086956521739,0.1360544217687075,46,46,46,0,216,1,1.5,0,1.2246467991473532e-16,-1,1,216,0,1,1,1,1,1,3,3,3,2,3,0,7,1,1,3,1,2,2,0,5,0,0,0
2893,9000,Lvl,Inside,IDOTRR,2fmCon,1.5Fin,5,6,Gable,CBlock,1396,4,0,2006,Abnorml,50,WdShing,WD,None,None,None,0,0,0,660,0,0.15511111111111112,-999,55,55,0,0,0,2,0,-0.8660254037844386,0.50000000000000011,0,0,0,1,1,0,0,1,2,2,3,3,3,0,5,1,2,3,0,2,2,0,5,1,0,0
2868,7822,Bnk,Corner,Edwards,1Fam,1.5Fin,6,3,Gable,BrkTil,1338,3,0,2006,AdjLand,72,AsbShng,WD,GdPrv,Detchd,None,2,0,0,832,0,0.17105599590897469,32,91,56,1,208,1,2,1,0.49999999999999994,-0.86602540378443871,1,208,0,1,1,1,1,0,3,2,2,3,3,0,7,1,1,3,1,0,2,0,5,1,35,0
